source	detector	w661			w735			w785			w808			w826			w849		
1	2	1	0.039175902	221.6890564	1	0.000103601	78.41847992	1	0.007876667	153.9994965	1	0.018663211	12.76489258	1	0.005684472	15.71043682	1	9.02158E-05	71.19400787
1	3	1	3.23622E-05	326.8606873	1	0.000000479	25.59357262	1	1.16895E-05	316.0452881	1	1.83266E-05	127.7210159	1	1.05804E-05	83.02964783	1	6.242E-07	17.78124046
1	4	1	8.70413E-05	120.3322296	1	0.000203721	166.0443878	1	4.58882E-05	77.3006134	1	7.56285E-05	222.3780518	1	6.59661E-05	173.5135498	1	0.000434845	182.8957672
1	5	1	0.000424188	214.3813324	1	2.18213E-05	174.7768097	1	0.00032692	191.0232697	1	0.000570977	356.3013	1	0.000155316	313.6863708	1	6.15678E-05	187.8005371
1	6	1	0.001943956	144.9131775	1	1.25817E-05	162.3675385	1	0.000809919	121.8907852	1	0.002053338	293.9115295	1	0.000558349	239.9799957	1	3.72622E-05	172.4544525
1	7	1	0.000815145	139.4393463	1	5.9503E-06	154.9447784	1	0.000468602	115.1010666	1	0.00118234	282.2984314	1	0.000399222	234.6121216	1	2.91782E-05	167.4041901
1	8	1	3.3172E-06	247.1781311	1	2.5286E-06	32.5157547	1	2.1793E-06	171.3564911	1	2.8349E-06	293.5164795	1	2.5135E-06	202.912796	1	0.000001373	340.4001465
1	9	1	0.000636422	153.9843292	1	2.1028E-06	152.2479553	1	0.000143929	121.4072495	1	0.000409342	297.0787659	1	0.000104482	244.1231537	1	8.7142E-06	173.1484528
1	10	1	0.000203248	148.0198517	1	1.2997E-06	153.2513275	1	0.00011826	119.7496567	1	0.000195302	289.9526062	1	0.000110064	240.8146515	1	5.9288E-06	175.8762817
1	11	1	0.000136243	149.9516754	1	1.7706E-06	145.8155365	1	8.03336E-05	122.0623169	1	0.000133756	293.8984985	1	8.04355E-05	243.8046722	1	4.9188E-06	178.9231262
1	12	1	0.000068031	146.9888611	1	1.7865E-06	20.59199905	1	4.51413E-05	120.4349213	1	6.41737E-05	292.7559509	1	3.53403E-05	238.6383362	1	1.3313E-06	146.7123108
1	13	1	2.30159E-05	123.460907	1	6.889E-07	108.2421799	1	1.74222E-05	108.9315643	1	2.77264E-05	279.8403931	1	1.88731E-05	227.5745392	1	1.6613E-06	147.8984528
1	14	1	0.000056124	95.18256378	1	2.4421E-06	95.4625473	1	3.55576E-05	72.63392639	1	5.72171E-05	249.5617676	1	3.98872E-05	204.4411011	1	5.9789E-06	120.2054596
1	15	1	0.000233792	109.1852188	1	1.7014E-06	96.03709412	1	0.000222215	47.41570663	1	0.000336627	223.5666046	1	0.000106376	171.04216	1	0.000010586	99.42599487
1	16	1	0.001371177	42.24372864	1	1.90274E-05	64.00249481	1	0.003017402	351.8887634	1	0.004889179	169.0718689	1	0.003867582	118.8121796	1	0.000247234	53.55102158
